,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
533,JL BASSMAN,<built-in function id>,https://open.spotify.com/artist/177GNxAfkbpfGr6z6d6dCn,3,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273021bb25a0603d5b1e4b04974', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02021bb25a0603d5b1e4b04974', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851021bb25a0603d5b1e4b04974', 'width': 64}]",0,JL Bassman,<class 'type'>,simus,534
534,CEFERINA BANQUEZ Y SUS CANTOS ANCESTRALES DE GUAMANGA,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,535
535,Ensamble Macondo,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,536
536,PROYECTO MOZART,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,537
537,JARANATAMBO,<built-in function id>,https://open.spotify.com/artist/6H3OH8n6gKnCIWZzb6PO08,146,['jazz colombiano'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273940383a4f79db388020c1a31', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02940383a4f79db388020c1a31', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851940383a4f79db388020c1a31', 'width': 64}]",1,Jaranatambo,<class 'type'>,simus,538
538,Fundación Bullerenguera Palmeras de Urabá,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,539
539,Akorde musik,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,540
540,Old House,<built-in function id>,https://open.spotify.com/artist/28Ju6yNATBz8H2kyLgnps1,70,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737439c7d74bf2f39f9fdb034e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027439c7d74bf2f39f9fdb034e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517439c7d74bf2f39f9fdb034e', 'width': 64}]",14,The Old House With A Piano,<class 'type'>,simus,541
541,REC,<built-in function id>,https://open.spotify.com/artist/0jmPjksXqVrO92Urmx58vg,109210,"['roots americana', 'texas country']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6a91d69f0370d9a718f4f063', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746a91d69f0370d9a718f4f063', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786a91d69f0370d9a718f4f063', 'width': 160}]",51,Reckless Kelly,<class 'type'>,simus,542
542,Locotina,<built-in function id>,https://open.spotify.com/artist/1T8NnxA0fnU3TQ6aiTNNtw,33781,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273177092667a7cafc09893a3ae', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02177092667a7cafc09893a3ae', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851177092667a7cafc09893a3ae', 'width': 64}]",43,Locomia,<class 'type'>,simus,543
